rank_key,headphone,brand,model,variant,type,driver_type,driver_size_mm,driver_width_mm,driver_height_mm,impedance_ohms,sensitivity_db_mw,frequency_response_hz,weight_g,cable_detachable,connector,origin,msrp_usd,release_year,notes,source_url
1am2,Sony MDR-1AM2 Premium Hi-Res Headphones,Sony,MDR-1AM2,Black,Closed,Dynamic,39.9,,,16,98,"3-100,000 Hz",187,Detachable / Silver-coated OFC,Gold-plated L-shaped Stereo Mini,,,,"Features: Hi-Res Audio, premium, built-in microphone; Magnet: Neodymium; Diaphragm: Aluminum-Coated LCP; Wearing Style: Circumaural",https://electronics.sony.com/audio/headphones/all-headphones/p/mdr1am2-b
325x,Grado SR325x,Grado,SR325x,,Open,Dynamic,44,,,38,98,18-24 kHz,360,No,,USA,,,Driver matched dB: 0.05; Cushions: F; Operating Principle: open air; Weight approx 360g (sources vary 340-360g including cable and adapter); Cable non-detachable,https://gradolabs.com/products/sr325x
99 clasic,Meze 99 Classics (1st Gen),Meze,99 Classics,1st Gen,Closed,Dynamic,40,,,32,103,15 Hz - 25 kHz,260,Yes,Dual 3.5 mm TS Jack,Romania,,,Maximum Input Power: 50 mW; Rated Input Power: 30 mW; Total Harmonic Distortion: <0.1% at 1 kHz; Ear Cups: Walnut wood; Note: Brand corrected from Beyerdynamic to Meze,https://mezeaudio.com/products/99-classics-v2-gold
580i,Ultrasone PRO 580i,Ultrasone,PRO 580i,Silver,Closed,Dynamic,50,,,32,101,"10-22,000 Hz",295,No,3.5mm gold-plated mini jack (includes 6.3mm adapter),,,,"S-Logic PLUS spatial imaging, ULE shielding, fixed 2.5m cable with 6.3mm adapter, extra velour pads, carry case",https://www.muzix.eu/Ultrasone/Headphones/On-ear/USO-580i/ULTRASONE-PRO-580I-Professional-custom-driver-Over-Ear-headphones-with-extended-bass-response-S-Logic-Plus-and-ULE-technologies
abyss diana mr carbon vegan,ABYSS Diana MR Carbon Weave (Vegan),ABYSS,Diana MR,Carbon Weave (Vegan),Open,Planar Magnetic,63,,,30,93,"5-55,000 Hz",379,Yes (detachable cable),3.5mm / 6.35mm / 4-pin XLR / 4.4mm / 2.5mm (JPS Labs cable),USA,2995,,"Carbon weave vegan finish, 10-year private warranty, includes custom cable & case",https://abyss-headphones.com/products/abyss-diana-mr
abyss1266150874,ABYSS AB1266 Phi TC,ABYSS,AB1266 Phi TC,,Open,Planar Magnetic,66,,,50,88,"5-30,000 Hz",640,Yes,"4-pin balanced XLR (includes 1/4\ adapter)""",USA,5995,2018,"Ceramic-coated aluminum chassis, 10-year warranty, includes balanced cable + carry case",https://eu.abyss-headphones.com/pages/abyss-ab-1266-phi-reference-headphone
abyssdianav2bk1,ABYSS Diana V2 BK1,ABYSS,Diana V2,BK1,Open,Planar Magnetic,63,,,42,91,"7-28,000 Hz",330,Yes (detachable cable),"3.5mm, 6.3mm, 4-pin XLR (JPS Labs cables)",USA,1999,,"Phi drivers, EMotion magnetic headband, leather pads, multiple blue finish, includes JPS Labs cables",https://www.headamp.com/products/abyss-diana-v2
akgk361 aboveflat,AKG K361 (AboveFlat),AKG,K361,AboveFlat,Closed,Dynamic,50,,,32,114,15-28000 Hz,219,Yes,2.5 mm TRS,,,,"Includes detachable 3m/1.2m cables, 3.5mm-6.35mm adapter, protective pouch; pure OFC voice coil; foldable closed-back design for studio use.",https://kh.akg.com/K361-.html
ad1000x,Audio-Technica ATH-AD1000X,Audio-Technica,ATH-AD1000X,,Open,Dynamic,53,,,40,102,"5-40,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,599,,"CCAW voice coils, 3D Wing Support, aluminum honeycomb frame",https://sea.audio-technica.com/audiophile-open-air-dynamic-headphones
ad2000x,Audio-Technica ATH-AD2000X,Audio-Technica,ATH-AD2000X,,Open,Dynamic,53,,,40,103,"5-45,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,1299,,"Permendur magnets, CCAW voice coils, Double Air Damping System, 3D Wing Support",https://www.av.com/Headphones/Audio-Technica-ATH-AD2000X-Open-Back-Headphones/5U13
ad500x,Audio-Technica ATH-AD500X,Audio-Technica,ATH-AD500X,,Open,Dynamic,53,,,48,100,"5-25,000 Hz",235,No,3.5mm mini stereo (includes 6.3mm adapter),Japan,169,,"CCAW voice coils, honeycomb aluminum housing, 3D Wing Support",https://sea.audio-technica.com/audiophile-open-air-headphones
ad700x,Audio-Technica ATH-AD700X,Audio-Technica,ATH-AD700X,,Open,Dynamic,53,,,38,100,"5-30,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,,,"3D Wing Support, honeycomb aluminum housing, velvet pads, CCAW voice coils",https://sea.audio-technica.com/audiophile-open-air-headphones-ATH-AD700X
ad900x,Audio-Technica ATH-AD900X,Audio-Technica,ATH-AD900X,,Open,Dynamic,53,,,38,100,"5-35,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,,,"3D Wing Support, memory foam pads, honeycomb aluminum casing",https://sea.audio-technica.com/type/high-fidelity-open-back-headphones
adx5000,Audio-Technica ATH-ADX5000,Audio-Technica,ATH-ADX5000,,Open,Dynamic,58,,,420,100,"5-50,000 Hz",270,Yes,A2DC connectors + 6.3mm gold-plated stereo plug,Japan,2729,,"Core Mount Technology, Permendur magnetic circuit, tungsten-coated diaphragm, honeycomb housing",https://sea.audio-technica.com/reference-air-dynamic-open-back-headphones
aeolus,ZMF Aeolus,ZMF,Aeolus,,Open,Planar Magnetic,42,,,300,97,"15-25,000 Hz",445,Yes (detachable cable),4-pin XLR (balanced) + 6.3mm adapter,USA,1099,,"TPE membrane driver, lifetime driver warranty, includes ZMF braided cable and choice of pads",https://shop.zmfheadphones.com/products/aeolus
aeon 2 noire,Dan Clark Audio AEON 2 Noire,Dan Clark Audio,AEON 2 Noire,,Closed,Planar Magnetic,,62,34,13,92,,328,Yes (detachable cable),"3.5mm mini stereo + 1/4\ adapter (optional 4-pin XLR)""",USA,899,,"TrueFlow V2, V-Planar driver processing, folding gimbal, carbon fiber/aluminum/titanium chassis; Sensitivity: 92 dB SPL @ 1mW into 13Ω",https://danclarkaudio.com/aeon-2-noir.html
aeon closed x,Drop + Dan Clark Audio Aeon Closed X,Dan Clark Audio,Aeon Closed X,,Closed,Planar Magnetic,62,,,12.5,91,,326,Yes (detachable cable),Hirose 4-pin + 3.5 mm / 6.35 mm adapter,USA,499,,"V-Planar drivers, NiTinol headband, includes DUMMER cable + tuning foam",https://drop.com/buy/drop-dan-clark-audio-aeon-closed-x-headphones
aeon open x,Drop + Dan Clark Audio Aeon Open X,Dan Clark Audio,Aeon Open X,,Open,Planar Magnetic,62,,,13,94,,326,Yes (detachable cable),Hirose 4-pin + 3.5mm / 6.35mm adapter,USA,529,,"V-Planar drivers, Drop-exclusive fenestrated pads, made in San Diego",https://drop.com/buy/drop-dan-clark-audio-aeon-open-x-headphones
aiva,Sendy Audio Aiva,Sendy Audio,Aiva,,Open,Planar Magnetic,97,,,32,96,"20-40,000 Hz",420,Yes (detachable cable),4.4 mm balanced + 3.5 mm adapter,China,599,,"Zebrawood earcups, protein leather/velvet pads, includes balanced cable & adapter",https://www.audiohum.com/gb/hi-fi-headphones/headphones/hi-fi-headphones/sendy-audio-aiva
amiron home,Beyerdynamic Amiron home,Beyerdynamic,Amiron home,,Open,Dynamic,45,,,250,102,"5-40,000 Hz",340,Yes (detachable cable),Gold-plated mini stereo jack (3.5 mm) + 6.35 mm adapter,Germany,,,"Tesla drivers, Microvelours ear pads, double-sided detachable cable; Made in Germany",https://north-america.beyerdynamic.com/p/amiron-home
ananda nano,HIFIMAN Ananda Nano,HIFIMAN,Ananda Nano,,Open,Planar Magnetic,,100,75,14,94,"5-55,000 Hz",419.6,Yes,Dual 3.5mm connectors (includes 6.35mm adapter),China,499,2023,"Nanometer-Thickness diaphragm, Stealth magnets, detachable dual cables",https://www.hifiman.com/products/detail/334
ananda stealth,HIFIMAN Ananda Stealth,HIFIMAN,Ananda Stealth,,Open,Planar Magnetic,,100,75,16,93,"8-55,000 Hz",399,Yes,Dual 3.5mm connectors + 6.35mm adapter,China,699,,"NsD supernano diaphragm, Stealth magnets, includes 1.5m 3.5mm cable + 3m 6.35mm cable",https://www.headamp.com/products/hifiman-ananda
aperio,Warwick Acoustics Aperio,Warwick Acoustics,Aperio,,Open,Electrostatic,67.4,,,,,"10-60,000 Hz",405,Yes,Polarized 4-pin self-latching connectors,UK,24000,,"BD-HPEL electrostatic transducer, Cabretta sheepskin cushions, pairs with Aperio electronics (dual 32-bit DACs); No traditional impedance spec (electrostatic system with integrated energizer)",https://www.audioemotion.co.uk/warwick-acoustics-aperio-reference-headphone-system-32898-p.asp
arya,HIFIMAN Arya,HIFIMAN,Arya,,Open,Planar Magnetic,,100,75,35,90,"8-65,000 Hz",404,Yes,Dual 3.5mm,China,1299,,,https://www.hifiman.com/products/detail/297
arya organic,HIFIMAN Arya Organic,HIFIMAN,Arya Organic,,Open,Planar Magnetic,,100,75,16,94,"8-65,000 Hz",440,Yes,Dual 3.5mm,China,1299,,,https://www.headamp.com/products/hifiman-arya-organic
athena,HarmonicDyne Athena,HarmonicDyne,Athena,,Closed,Dynamic,50,,,34,102,"10-70,000 Hz",320,Yes,Dual 3.5mm; cable 3.5mm + 6.35mm adapter,,179,,Sensitivity: 116.5 dB/Vrms @ 1 kHz (converts to ~102 dB/mW at 34Ω); THD 0.2% @ 1 kHz 100 dB SPL; metal-ceramic composite driver,https://blog.ear-phone-review.com/entry/news/HarmonicDyne_Athena
atrium,ZMF Atrium,ZMF,Atrium,,Open,Dynamic,50,,,300,96,,490,Yes,,USA,2499,,Biocellulose N52 Atrium Tuned Driver; Lifetime driver warranty (per ZMF listing),https://shop.zmfheadphones.com/products/atrium
atrium closed,ZMF Atrium Closed,ZMF,Atrium Closed,,Closed,Dynamic,50,,,300,96,,490,Yes,,USA,2499,,Biocellulose N52 Atrium Tuned Driver; Stock wood Canarywood (per ZMF listing),https://shop.zmfheadphones.com/products/atrium-closed
audeze mm 500,Audeze MM-500,Audeze,MM-500,,Open,Planar Magnetic,90,,,18,100,"5-50,000 Hz",495,,,,,,Fluxor magnet array; Fazor; Ultra-Thin Uniforce diaphragm,https://www.audeze.com/products/mm-500
audivina,HIFIMAN Audivina,HIFIMAN,Audivina,,Closed,Planar Magnetic,,100,75,20,97,"5-55,000 Hz",470,,,China,,,,https://www.hifiman.cn/products/detail/301
auteur,ZMF Auteur Classic,ZMF,Auteur,Classic,Open,Dynamic,50,,,300,96,,490,Yes,,USA,1499,,Biocellulose driver; Lifetime driver warranty (per ZMF listing),https://shop.zmfheadphones.com/products/auteur_classic
beats pro,Beats Pro,Beats,Pro,,Closed,Dynamic,50,,,19.5,117.9,20 Hz+,400,Yes,Dual 3.5mm; cable 3.5mm,,,,Frequency response minimum 20 Hz (upper limit not specified); Sensitivity: 117.9 dB SPL (likely dB/mW),https://reference-audio-analyzer.pro/en/report/hp/monster-beats-pro.php
bravura,Warwick Acoustics Bravura,Warwick Acoustics,Bravura,,Open,Electrostatic,67.4,,,5000000000,,"10-90,000 Hz",290,,LEMO (dual-pin),,,2021,Max output level 100 dB SPL @ 1 kHz (per user manual).,https://assets.ctfassets.net/9ddpwm2ucrxr/5b4lbM9tRXuaLdQBkQL6sH/045933d018f3a571dcb4cfdf92c563da/BRAVURA_USER_MANUAL_Published_July_2021.pdf
ca 1a,RAAL-requisite CA-1a,RAAL-requisite,CA-1a,,Open,Ribbon,80,,,0.2,,,444,Yes,Dual 3.5mm TRRS (headphone) / 4-pin XLR (via TI-1b interface),,,,System impedance (with transformer) 16 or 32 ohms; raw driver approx 0.2 ohms; requires TI-1b transformer interface; Weight 444g per user measurement; SC2 cable ~2m detachable,https://www.moon-audio.com/products/raal-ca-1a-headphones
caldera,ZMF Caldera,ZMF,Caldera,,Open,Planar Magnetic,80,,,60,95,,520,Yes,,USA,3499,,Weight 490-550g (varies by wood and chassis); using 520g midpoint; planar magnetic driver.,https://shop.zmfheadphones.com/products/caldera
cd900st,Sony MDR-CD900ST,Sony,MDR-CD900ST,,Closed,Dynamic,40,,,63,106,"5-30,000 Hz",200,No,Standard stereo plug,,,,,https://www.ikebe-gakki.com/en/products/51039
celestee,Focal Celestee,Focal,Celestee,,Closed,Dynamic,40,,,35,105,"5-23,000 Hz",430,Yes,3.5mm and 6.35mm,France,,,Aluminum/Magnesium M-shaped dome; THD 0.1% @ 1kHz/100dB SPL; Sensitivity: 105 dB SPL/mW at 1kHz,https://www.focal.com/products/celestee
clasic,Meze 99 Classics,Meze,99 Classics,,Closed,Dynamic,40,,,32,103,"15-25,000 Hz",260,Yes,Dual 3.5 mm TS Jack,,,,Max input power 50 mW; rated input power 30 mW; THD <0.1% @ 1 kHz; ear cups walnut wood.,https://mezeaudio.com/pages/99-classics
clear,Focal Clear,Focal,Clear,,Open,Dynamic,40,,,55,104,"5-28,000 Hz",450,Yes,4-pin XLR / 6.35mm / 3.5mm,France,,,"Includes 4-pin XLR balanced cable, 6.35mm cable, 3.5mm cable + adapter.",https://dam.focal-naim.com/m/b76a115af3c9428/original/FP_Clear_GB-pdf.pdf
clear mg,Focal Clear Mg,Focal,Clear Mg,,Open,Dynamic,40,,,55,104,"5-23,000 Hz",450,Yes,4-pin XLR / 3.5mm (adapter to 6.35mm),France,,,Magnesium M-shaped dome; includes cables + adapter (per Focal page).,https://www.focal.com/products/clear-mg
composer,Austrian Audio The Composer,Austrian Audio,The Composer,,Open,Dynamic,49,,,22,112,"20-40,000 Hz",385,Yes,Banana Jack; 3.5mm (adapter to 6.3mm included),,2,,Sensitivity: 112 dB SPL/V at 22Ω; THD <0.1% @ 1kHz; detachable 2x3m cables,https://austrian.audio/product/thecomposer/
corina,Dan Clark Audio CORINA,Dan Clark Audio,CORINA,,Open,Electrostatic,88,,,,,,465,Yes,5-pin (580V Pro Bias),USA,,,Electrostatic; capacitance 135 pF (with 2m cable); AMTS; frequency response listed as flat to 6 Hz; No traditional impedance spec (operates at 580V Pro Bias standard); Cable detachable via hex screws,https://danclarkaudio.com/corina.html
crbn,Audeze CRBN,Audeze,CRBN,,Open,Electrostatic,,120,90,100000,120,"10-40,000 Hz",470,,,,,,Impedance: 100 kOhms; Sensitivity: 120 dB/mW @ 1kHz (electrostatic with 580V Pro Bias),https://www.audeze.com/products/crbn-electrostatic-headphones
d5200,Denon AH-D5200,Denon,AH-D5200,,Closed,Dynamic,50,,,24,103,"5-40,000 Hz",385,,3.5mm (source) to dual 3.5mm (headphone); 6.3mm adapter,,,,Cable length 3.0 m.,https://www.av.com/Headphones/Denon-AH-D5200-Reference-Quality-Over-Ear-Headphones/4EZO
d7200,Denon AH-D7200,Denon,AH-D7200,,Closed,Dynamic,50,,,25,105,"5-55,000 Hz",385,,"6.3mm (source), dual 3.5mm (headphone)",,,,Cable length 3.0 m.,https://www.av.com/Headphones/Denon-AH-D7200-Reference-Quality-Over-Ear-Headphones/4DAM
d9200,Denon AH-D9200,Denon,AH-D9200,,Closed,Dynamic,50,,,24,105,"5-56,000 Hz",375,,3.0 m cable with 6.3mm plug + 2x 3.5mm (headphone); 1.3 m cable with 3.5mm plug + 2x 3.5mm (headphone); 3.5mm to 6.3mm adapter,,,,"Driver type: Nanofiber FreeEdge (from info sheet). Max power input 1,800 mW.",https://www.denon.com/on/demandware.static/-/Library-Sites-denon_northamerica_shared/default/dw6e821f92/downloads/ah-d9200-info-sheet-en.pdf
d8000 pro,final D8000 Pro Edition,final,D8000,Pro Edition,Open,Planar Magnetic,50,,,60,98,,523,,3.5mm (1.5 m cable) / 6.3mm (3 m cable) (per included cables),,,,"Driver: AFDS planar magnetic (labelled ""AFDS Planer Magnetic"" on source page).",https://snext-final.com/en/products/detail/D8000pro
dca expanse,Dan Clark Audio EXPANSE,Dan Clark Audio,EXPANSE,,Open,Planar Magnetic,,76,51,23,87,"20-20,000 Hz",418,,,,,,Driver size: 76mm x 51mm single-ended planar magnetic; Sensitivity: 86-87 dB/mW at 23Ω; THD and driver matching in raw file,https://www.headamp.com/products/dan-clark-expanse
dt 770,Beyerdynamic DT 770 PRO,Beyerdynamic,DT 770 PRO,80 Ohm,Closed,Dynamic,45,,,80,96,"5-35,000 Hz",345,No,3.5mm gold-plated mini stereo jack + 6.35mm adapter,,,,"Also available: 32 Ohm (1.6 m straight cable, 325 g, approx. 20 dBA isolation, order # 483.664) and 250 Ohm (3 m coiled cable, 380 g, order # 459.046); Headband pressure approx. 3.5 N; Power handling 100 mW; THD < 0.2%.",https://global.beyerdynamic.com/api/download/5c0bbf2e8cf2d6aa19e98cde4ab32122/pdf/dt-770-pro-dynamic-headphones-datasheet-en.pdf
dt 700 pro x,Beyerdynamic DT 700 PRO X,Beyerdynamic,DT 700 PRO X,,Closed,Dynamic,45,,,48,100,"5-40,000 Hz",350,Yes (3-pin mini XLR),3.5mm (6.35mm adapter),Germany,,,Nominal SPL: 100 dB SPL (1 mW/500 Hz); 114 dB SPL (1 V/500 Hz); Ambient noise attenuation: 20 dB A; Headband pressure: 5.3 N; Max input power: 100 mW short term; THD: 0.40% @ 100 Hz; 0.05% @ 500 Hz; 0.04% @ 1 kHz,https://www.beyerdynamic.com.au/products/beyerdynamic-dt-700-pro-x
dt 880,beyerdynamic DT 880 PRO,beyerdynamic,DT 880 PRO,,Open,Dynamic,45,,,250,96,"5-35,000 Hz",295,,3.5mm stereo jack + 6.35mm adapter,Germany,,,Cable: coiled 3.0 m (wired).,https://north-america.beyerdynamic.com/dt-880-pro.html
